누적관객수,영화코드,영화이름
6685136,20196309,스파이더맨: 파 프롬 홈
10161231,20183867,알라딘
3151060,20184047,토이 스토리 4
220182,20185353,기방도령
9919835,20183782,기생충
106756,20185986,진범
101245,20191601,극장판 엉덩이 탐정: 화려한 사건 수첩
459037,20199951,애나벨 집으로
913066,20196655,존 윅 3: 파라벨룸
45707,20192151,미드소마
1076588,20198453,롱 리브 더 킹: 목포 영웅
228365,20190273,천로역정: 천국을 찾아서
199009,20182585,비스트
25000,20192591,BIFAN2019 판타스틱 단편 걸작선 1
37437,20192022,마담 싸이코
843649,20196657,맨 인 블랙: 인터내셔널
46546,20190885,사탄의 인형
860921,20182387,엑스맨: 다크 피닉스
31379,20190466,세상을 바꾼 변호인
142372,19880001,이웃집 토토로
30244,20191401,업사이드
98703,20198291,로켓맨
13887813,20184889,어벤져스: 엔드게임
3346654,20188941,악인전
352862,20184865,고질라: 킹 오브 몬스터
44189,20199063,빅샤크2: 해저2만리
133522,20188144,0.0MHz
1618601,20184082,걸캅스
193949,20199448,어린 의뢰인
65399,20198597,교회오빠
88514,20199822,더 보이
270270,20187981,배심원들
680420,20198598,명탐정 피카츄
1462434,20185784,나의 특별한 형제
752508,20198183,뽀로로 극장판 보물섬 대모험
61163,20185384,호텔 뭄바이
19684,20197503,서스페리아
50816,20197147,어글리 돌
25540,20169323,안도 타다오
1191113,20183096,생일
5796057,20181877,캡틴 마블
482408,20060347,판의 미로 - 오필리아와 세 개의 열쇠
10185,20199736,프렌즈: 둥지탈출
197125,20183454,요로나의 저주
279305,20180825,미성년
90320,20198982,크게 될 놈
49958,19990220,노팅 힐
3388756,20176103,돈
131698,20198104,바이스
311910,20185406,헬보이
46139,20182501,왓칭
83953,20198844,아이 엠 마더
636971,20196244,샤잠!
1450902,20185352,어스
87134,20197423,공포의 묘지
390548,20183773,장난스런 키스
67395,20198403,파이브 피트
296253,20196025,덤보
46938,20197092,로망
35223,20198146,콜레트
254451,20197846,악질경찰
175481,20175407,우상
26086,20166301,썬키스 패밀리
46858,20197483,1919 유관순
544462,20197283,이스케이프 룸
93476,20197356,라스트 미션
24340,20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이
22534,20197617,정글북: 마법 원정대
409871,20184574,그린 북
1143977,20196601,항거:유관순 이야기
16243231,20182530,극한직업
2519150,20185881,증인
2389760,20177539,사바하
18305,20196723,숲속왕국의 꿀벌 여왕
133508,20180937,더 페이버릿: 여왕의 여자
16489,20177282,리노
168884,20176442,자전차왕 엄복동
281705,20195743,신데렐라:마법 반지의 비밀
70827,20195791,"어쩌다, 결혼"
1498759,20186261,드래곤 길들이기 3
1946206,20188282,알리타: 배틀 엔젤
392397,20195915,해피 데스데이 2 유
79301,20020222,해리포터와 비밀의 방
78303,20185576,콜드 체이싱
199519,20184888,메리 포핀스 리턴즈
216254,20174169,기묘한 가족
1821147,20180868,뺑반
83376,20162003,명탐정 코난:전율의 악보
558144,20185478,극장판 헬로카봇: 옴파로스 섬의 비밀
71030,20185444,레고 무비2
2848736,20184105,말모이
342366,20185124,러브 유어셀프 인 서울
87787,20184896,가버나움
1910802,20176251,내안의 그놈
1754950,20189463,주먹왕 랄프 2: 인터넷 속으로
452460,20182544,글래스
176837,20186324,언더독
9910706,20185485,보헤미안 랩소디
30571,20189385,몬스터 파크
5019235,20180290,아쿠아맨
379569,20183915,극장판 공룡메카드: 타이니소어의 섬
77985,20182588,미래의 미라이
1553491,20186281,범블비
1665200,20170658,PMC: 더 벙커
1462873,20175547,스윙키즈
521053,20183785,점박이 한반도의 공룡2 : 새로운 낙원
172338,20184187,언니
543813,20182421,그린치
1787825,20168773,마약왕
259753,20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~
628327,20183238,스파이더맨: 뉴 유니버스
3723913,20177552,국가부도의 날
1546002,20179230,도어락
86997,20183375,극장판 포켓몬스터 모두의 이야기
