영화코드,영화명(국문),영화명(영문),영화명(원문),관람등급,장르,상영시간,감독명,
20196309,스파이더맨: 파 프롬 홈,Spider-Man: Far From Home,,,,129,,
20183867,알라딘,Aladdin,,,,127,,
20184047,토이 스토리 4,Toy Story 4,,,,99,,
20185353,기방도령,HOMME FATALE,,,,110,,
20183782,기생충,PARASITE,,,,131,,
20185986,진범,The Culprit,,,,100,,
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,Butt Detective The Movie,劇場版おしりたんてい：カレーなる事件,,,68,,
20199951,애나벨 집으로,Annabelle Comes Home,,,,105,,
20196655,존 윅 3: 파라벨룸,John Wick: Chapter 3 - parabellum,,,,131,,
20192151,미드소마,Midsommar,,,,147,,
20198453,롱 리브 더 킹: 목포 영웅,Long Live the King,,,,117,,
20190273,천로역정: 천국을 찾아서,The Pilgrim's Progress,,,,113,,
20182585,비스트,The Beast,,,,130,,
20192591,BIFAN2019 판타스틱 단편 걸작선 1,Fantastic Short Films 1,,,,,,
20192022,마담 싸이코,Greta,,,,98,,
20196657,맨 인 블랙: 인터내셔널,Men in Black: International,,,,115,,
20190885,사탄의 인형,Child's Play,,,,90,,
20182387,엑스맨: 다크 피닉스,X-MEN: DARK PHOENIX,,,,113,,
20190466,세상을 바꾼 변호인,ON THE BASIS OF SEX,,,,120,,
19880001,이웃집 토토로,My Neighbor Totoro,となりの トトロ,,,87,,
20191401,업사이드,The Upside,,,,125,,
20198291,로켓맨,Rocketman,,,,121,,
20184889,어벤져스: 엔드게임,Avengers: Endgame,,,,180,,
20188941,악인전,"The Gangster, The Cop, The Devil",,,,109,,
20184865,고질라: 킹 오브 몬스터,Godzilla: King of the Monsters,,,,131,,
20199063,빅샤크2: 해저2만리,Happy Little Submarine : 20000 Leagues under the Sea,,,,74,,
20188144,0.0MHz,0.0MHz,,,,101,,
20184082,걸캅스,Miss & Mrs. Cops,,,,107,,
20199448,어린 의뢰인,My First Client,,,,114,,
20198597,교회오빠,A Job Who Is near Us,,,,84,,
20199822,더 보이,Brightburn,,,,90,,
20187981,배심원들,Juror 8,,,,113,,
20198598,명탐정 피카츄,Pokemon Detective Pikachu,,,,104,,
20185784,나의 특별한 형제,Inseparable Bros,,,,113,,
20198183,뽀로로 극장판 보물섬 대모험,Treasure Island Adventure,,,,79,,
20185384,호텔 뭄바이,Hotel Mumbai,,,,122,,
20197503,서스페리아,Suspiria,,,,152,,
20197147,어글리 돌,UglyDolls,UGLYDOLLS,,,87,,
20169323,안도 타다오,Samurai Architect Tadao Ando,,,,73,,
20183096,생일,Birthday,,,,120,,
20181877,캡틴 마블,Captain Marvel,,,,123,,
20060347,판의 미로 - 오필리아와 세 개의 열쇠,Pan's Labyrinth,El Laberinto Del Fauno,,,118,,
20199736,프렌즈: 둥지탈출,Manou the Swift,,,,87,,
20183454,요로나의 저주,The Curse of La Llorona,,,,93,,
20180825,미성년,Another Child,,,,95,,
20198982,크게 될 놈,,,,,108,,
19990220,노팅 힐,Notting Hill,Notting Hill,,,124,,
20176103,돈,Money,,,,115,,
20198104,바이스,VICE,,,,132,,
20185406,헬보이,Hellboy,,,,120,,
20182501,왓칭,Watching,,,,97,,
20198844,아이 엠 마더,Peppermint,,,,101,,
20196244,샤잠!,SHAZAM!,,,,131,,
20185352,어스,Us,,,,116,,
20197423,공포의 묘지,Pet Sematary,,,,100,,
20183773,장난스런 키스,Fall in Love at First Kiss,一吻定情,,,122,,
20198403,파이브 피트,Five Feet Apart,,,,116,,
20196025,덤보,Dumbo,,,,111,,
20197092,로망,Romang,,,,111,,
20198146,콜레트,COLETTE,,,,112,,
20197846,악질경찰,Jo Pil-ho: The Dawning Rage,,,,127,,
20175407,우상,Idol,,,,143,,
20166301,썬키스 패밀리,Sunkist Family,,,,105,,
20197483,1919 유관순,1919 Yu-kwan-sun,,,,79,,
20197283,이스케이프 룸,The Escape Room,,,,99,,
20197356,라스트 미션,The Mule,,,,116,,
20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,Fate/stay night [Heaven's Feel] II.lost butterfly,,,,117,,
20197617,정글북: 마법 원정대,Savva,,,,80,,
20184574,그린 북,Green Book,,,,130,,
20196601,항거:유관순 이야기,A Resistance,,,,105,,
20182530,극한직업,Extreme Job,,,,111,,
20185881,증인,Innocent Witness,,,,129,,
20177539,사바하,SVAHA : THE SIXTH FINGER,,,,122,,
20196723,숲속왕국의 꿀벌 여왕,Tall Tales,,,,87,,
20180937,더 페이버릿: 여왕의 여자,THE FAVOURITE,,,,119,,
20177282,리노,Lino - Adventure of Seven Lives,Lino: Uma Aventura de Sete Vidas,,,88,,
20176442,자전차왕 엄복동,Race to Freedom : Um Bok Dong,,,,116,,
20195743,신데렐라:마법 반지의 비밀,Cinderella and The Secret Prince,,,,87,,
20195791,"어쩌다, 결혼",Trade Your Love,,,,87,,
20186261,드래곤 길들이기 3,How to Train Your Dragon 3,How to Train Your Dragon: The Hidden World,,,104,,
20188282,알리타: 배틀 엔젤,Alita: Battle Angel,,,,121,,
20195915,해피 데스데이 2 유,Happy Death Day 2 U,,,,100,,
20020222,해리포터와 비밀의 방,Harry Potter And The Chamber Of Secrets,,,,161,,
20185576,콜드 체이싱,Cold Pursuit,,,,118,,
20184888,메리 포핀스 리턴즈,Mary Poppins Returns,,,,130,,
20174169,기묘한 가족,THE ODD FAMILY : ZOMBIE ON SALE,,,,111,,
20180868,뺑반,Hit-and-Run Squad,,,,133,,
20162003,명탐정 코난:전율의 악보,Detective Conan: Full Score of Fear,,,,115,,
20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,Hello Carbot The Movie: The Secret of Omphalos Island,,,,78,,
20185444,레고 무비2,The Lego Movie 2: The Second Part,,,,106,,
20184105,말모이,MAL·MO·E: The Secret Mission,,,,135,,
20185124,러브 유어셀프 인 서울,LOVE YOURSELF IN SEOUL,,,,111,,
20184896,가버나움,Capharnaum,Capernaum,,,126,,
20176251,내안의 그놈,The Dude in Me,,,,122,,
20189463,주먹왕 랄프 2: 인터넷 속으로,Ralph Breaks the Internet,,,,112,,
20182544,글래스,Glass,,,,129,,
20186324,언더독,Underdog,,,,101,,
20185485,보헤미안 랩소디,Bohemian Rhapsody,,,,134,,
20189385,몬스터 파크,Here Comes the Grump,,,,86,,
20180290,아쿠아맨,AQUAMAN,,,,143,,
20183915,극장판 공룡메카드: 타이니소어의 섬,,,,,70,,
20182588,미래의 미라이,MIRAI,未来のミライ(,,,97,,
20186281,범블비,Bumblebee,,,,113,,
20170658,PMC: 더 벙커,Take Point,,,,124,,
20175547,스윙키즈,Swing Kids,,,,133,,
20183785,점박이 한반도의 공룡2 : 새로운 낙원,,,,,93,,
20184187,언니,No Mercy,,,,93,,
20182421,그린치,The Grinch,,,,89,,
20168773,마약왕,The Drug King,,,,139,,
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,,,,103,,
